Transaction ID,Transactions
Trans1,"Milk, Bread, Eggs"
Trans2,"Sausages, Cheese, Vegetables, Potatoes"
Trans3,"Yogurt, Juice"
Trans4,"Cereal, Milk, Bread, Butter"
Trans5,"Coffee, Chocolate, Cheese"
Trans6,"Pasta, Sausages"
Trans7,"Vegetables, Potatoes"
Trans8,"Eggs, Butter, Chocolate, Juice"
Trans9,"Bread, Cheese, Yogurt"
Trans10,"Cereal, Chocolate"
Trans11,"Milk, Vegetables, Potatoes, Sausages"
Trans12,"Cheese, Chocolate"
Trans13,"Bread, Milk, Eggs, Butter"
Trans14,"Yogurt, Snacks, Juice"
Trans15,"Cereal, Milk, Butter"
Trans16,"Sausages, Pasta, Cheese"
Trans17,"Vegetables, Potatoes, Sausages"
Trans18,"Eggs, Butter, Chocolate"
Trans19,"Bread, Cheese, Yogurt"
Trans20,"Juice, Snacks"
Trans21,"Milk, Potatoes"
Trans22,"Sausages, Cheese, Chocolate"
Trans23,"Bread, Eggs, Milk"
Trans24,"Yogurt, Juice"
Trans25,"Cereal, Milk, Butter, Bread"
Trans26,"Sausages, Pasta"
Trans27,"Vegetables, Cheese"
Trans28,"Eggs, Butter"
Trans29,"Bread, Yogurt"
Trans30,"Juice, Cereal"
Trans31,"Milk, Vegetables, Potatoes"
Trans32,"Sausages, Chocolate"
Trans33,"Bread, Eggs"
Trans34,"Yogurt, Snacks, Juice"
Trans35,"Cereal, Milk, Butter"
Trans36,"Sausages, Pasta, Cheese"
Trans37,"Potatoes, Vegetables, Sausages"
Trans38,"Eggs, Chocolate"
Trans39,"Bread, Cheese, Yogurt, Juice"
Trans40,"Snacks, Coffee, Chocolate"
